company name,stock code,timestamp,value,status
VODAFONE GROUP PLC,VOD,02/03/2026 07:00:05,110.05,SUCCESS
LLOYDS BANKING GROUP PLC,LLOY,02/02/2026 18:25:56,113.05,SUCCESS
HSBC HOLDINGS PLC,HSBA,01/30/2026 15:30:00,1298.6,SUCCESS
GLENCORE PLC,GLEN,02/02/2026 17:04:00,504.5,SUCCESS
BT GROUP PLC,BT.A,01/30/2026 13:52:50,194.4,SUCCESS
BARCLAYS PLC,BARC,02/02/2026 18:13:09,500.9,SUCCESS
CENTRICA PLC,CNA,02/02/2026 15:00:00,191.6,SUCCESS
BP PLC,BP.,02/02/2026 16:43:40,456.25,SUCCESS
OCADO GROUP PLC,OCDO,02/03/2026 07:00:10,211.9,SUCCESS
BURBERRY GROUP PLC,BRBY,02/02/2026 14:00:01,1082,SUCCESS
NON EXISTING COMPANY LLC,NON,,,"FAILED: The retrieved company name and code do not match the input data. Expected - company name: NON EXISTING COMPANY LLC, stock code: NON. Received - company name: CITY OF LONDON INVESTMENT TRUST PLC, stock code: CTYA."
