company name,stock code,timestamp,value,status
VODAFONE GROUP PLC,VOD,03.02.26 10:26:15 GMT,109.90,SUCCESS
LLOYDS BANKING GROUP PLC,LLOY,03.02.26 10:26:18 GMT,113.25,SUCCESS
HSBC HOLDINGS PLC,HSBA,03.02.26 10:26:22 GMT,"1,303.00",SUCCESS
GLENCORE PLC,GLEN,03.02.26 10:26:25 GMT,507.20,SUCCESS
BT GROUP PLC,BT.A,03.02.26 10:26:27 GMT,194.15,SUCCESS
BARCLAYS PLC,BARC,03.02.26 10:26:30 GMT,502.10,SUCCESS
CENTRICA PLC,CNA,03.02.26 10:26:33 GMT,190.35,SUCCESS
BP PLC,BP.,03.02.26 10:26:36 GMT,458.70,SUCCESS
OCADO GROUP PLC,OCDO,03.02.26 10:26:38 GMT,214.50,SUCCESS
BURBERRY GROUP PLC,BRBY,03.02.26 10:26:41 GMT,"1,077.00",SUCCESS
NON EXISTING COMPANY LLC,NON,,,FAILED: The search did not return any results for stock code: NON.
